trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Tallia Parenti Grazielle,VALE,P - Purchase,2026-04-01,10464,"+$168,592",$16.11,Vale S.A.,"Officer, Sustainability",2026-04-03 13:39:26,openinsider,top_officer_month,,20938,+100%,,,,,1,2026-05-01T08-03-46Z
Chevallier Andres Campos,BWMX,P - Purchase,2026-04-28,10000,"+$168,062",$16.81,"Betterware De Mexico, S.A.P.I. De C.V",CEO,2026-04-30 16:01:12,openinsider,top_officer_month,,230000,+5%,,,,,1,2026-05-01T08-03-46Z
Dyrseth Roy A.,HMH,P - Purchase,2026-04-02,8000,"+$160,000",$20.00,Hmh Holding Inc,Chief Commercial Officer,2026-04-06 14:50:19,openinsider,top_officer_month,,68276,+13%,,,,,1,2026-05-01T08-03-46Z
Stark Eugene S,GAM,P - Purchase,2026-04-08,6151,"+$152,933",$24.86,General American Investors Co Inc,"VP Administration, CCO, PFO",2026-04-08 16:38:36,openinsider,top_officer_month,,161303,+4%,,,,,1,2026-05-01T08-03-46Z
Revel Michel,NCEL,P - Purchase,2026-04-27,54545,"+$149,999",$2.75,Newcelx Ltd.,"CSO, Dir, 10%",2026-04-29 16:05:15,openinsider,top_officer_month,D,957530,+6%,,,,,1,2026-05-01T08-03-46Z
Griffin Stephen D.,ANIK,P - Purchase,2026-04-30,12200,"+$149,881",$12.29,"Anika Therapeutics, Inc.","Pres, CEO",2026-04-30 17:22:40,openinsider,top_officer_month,,36163,+51%,,,,,1,2026-05-01T08-03-46Z
Jankowski Ryan Anthony,ARXS,P - Purchase,2026-04-17,4464,"+$124,992",$28.00,"Arxis, Inc.",Chief Accounting Officer,2026-04-20 21:15:53,openinsider,top_officer_month,,51331,+10%,,,,,1,2026-05-01T08-03-46Z
Priest Jeffrey W,GAM,P - Purchase,2026-04-08,5000,"+$123,425",$24.69,General American Investors Co Inc,"Pres, CEO",2026-04-08 16:52:56,openinsider,top_officer_month,,252645,+2%,,,,,1,2026-05-01T08-03-46Z
Wrocklage Robert,BMI,P - Purchase,2026-04-23,1000,"+$122,350",$122.35,Badger Meter Inc,EVP-N.A. Muncipal Utility,2026-04-23 16:05:07,openinsider,top_officer_month,,23321,+4%,,,,,1,2026-05-01T08-03-46Z
Bilotto Christopher J.,SVC,P - Purchase,2026-04-02,100000,"+$120,000",$1.20,Service Properties Trust,"Pres, CEO",2026-04-02 14:03:26,openinsider,top_officer_month,,298369,+50%,,,,,1,2026-05-01T08-03-46Z
Jimenez Frank R,GEHC,P - Purchase,2026-04-30,1750,"+$105,788",$60.45,Ge Healthcare Technologies Inc.,"GC, Corporate Secretary",2026-04-30 16:21:03,openinsider,top_officer_month,,93932,+2%,,,,,1,2026-05-01T08-03-46Z
Handy Edward O. III,WASH,P - Purchase,2026-04-27,3195,"+$100,079",$31.32,Washington Trust Bancorp Inc,"COB, CEO",2026-04-28 17:08:05,openinsider,top_officer_month,,86005,+4%,,,,,1,2026-05-01T08-03-46Z
Perry Marie,EFOR,P - Purchase,2026-04-24,5350,"+$100,018",$18.70,Everforth Inc,"EVP, CFO",2026-04-27 16:30:02,openinsider,top_officer_month,,58328,+10%,,,,,1,2026-05-01T08-03-46Z
Callahan Edward F.,BMI,P - Purchase,2026-04-21,858,"+$99,785",$116.30,Badger Meter Inc,VP-Engineering,2026-04-22 11:30:03,openinsider,top_officer_month,,1186,+262%,,,,,1,2026-05-01T08-03-46Z
