ticker,source,section,amount,page,scraped_at
INTU  INTUIT INC,quiver,lobbying,"$1,520,000",1,2026-05-01T08-00-27Z
UNP  UNION PACIFIC CORP.,quiver,lobbying,"$1,490,000",1,2026-05-01T08-00-27Z
BIIB  BIOGEN INC,quiver,lobbying,"$1,460,000",1,2026-05-01T08-00-27Z
C  CITIGROUP INC,quiver,lobbying,"$1,460,000",1,2026-05-01T08-00-27Z
BUD  ANHEUSER-BUSCH INBEV SA/NV - ADR,quiver,lobbying,"$1,430,000",1,2026-05-01T08-00-27Z
ABT  ABBOTT LABORATORIES,quiver,lobbying,"$1,410,000",1,2026-05-01T08-00-27Z
TAK  TAKEDA PHARMACEUTICAL CO - ADR,quiver,lobbying,"$1,410,000",1,2026-05-01T08-00-27Z
PSKY  PARAMOUNT SKYDANCE CORPORATION CLASS B COMMON STOCK,quiver,lobbying,"$1,340,000",1,2026-05-01T08-00-27Z
BMY  BRISTOL-MYERS SQUIBB CO.,quiver,lobbying,"$1,320,000",1,2026-05-01T08-00-27Z
PSX  PHILLIPS 66,quiver,lobbying,"$1,320,000",1,2026-05-01T08-00-27Z
"CAH  CARDINAL HEALTH, INC.",quiver,lobbying,"$1,320,000",1,2026-05-01T08-00-27Z
GE  GE AEROSPACE,quiver,lobbying,"$1,310,000",1,2026-05-01T08-00-27Z
NVDA  NVIDIA CORP,quiver,lobbying,"$1,290,000",1,2026-05-01T08-00-27Z
NVO  NOVO NORDISK - ADR,quiver,lobbying,"$1,290,000",1,2026-05-01T08-00-27Z
NFLX  NETFLIX INC.,quiver,lobbying,"$1,280,000",1,2026-05-01T08-00-27Z
D  DOMINION ENERGY INC,quiver,lobbying,"$1,270,000",1,2026-05-01T08-00-27Z
UAL  UNITED AIRLINES HOLDINGS INC,quiver,lobbying,"$1,270,000",1,2026-05-01T08-00-27Z
"GS  GOLDMAN SACHS GROUP, INC.",quiver,lobbying,"$1,250,000",1,2026-05-01T08-00-27Z
TM  TOYOTA MOTOR CORPORATION - ADR,quiver,lobbying,"$1,244,015",1,2026-05-01T08-00-27Z
SEM  SELECT MEDICAL HOLDINGS CORPORATION,quiver,lobbying,"$1,240,000",1,2026-05-01T08-00-27Z
MS  MORGAN STANLEY,quiver,lobbying,"$1,230,000",1,2026-05-01T08-00-27Z
"CSCO  CISCO SYSTEMS, INC.",quiver,lobbying,"$1,210,000",1,2026-05-01T08-00-27Z
JPM  JPMORGAN CHASE & CO.,quiver,lobbying,"$1,210,000",1,2026-05-01T08-00-27Z
AEP  AMERICAN ELECTRIC POWER COMPANY INC.,quiver,lobbying,"$1,209,000",1,2026-05-01T08-00-27Z
DVA  DAVITA INC,quiver,lobbying,"$1,200,000",1,2026-05-01T08-00-27Z
SOLS  SOLSTICE ADVANCED MATERIALS INC. COMMON STOCK,quiver,lobbying,"$1,180,000",1,2026-05-01T08-00-27Z
FOXA  FOX CORPORATION - ORDINARY SHARES - CLASS A,quiver,lobbying,"$1,180,000",1,2026-05-01T08-00-27Z
THC  TENET HEALTHCARE CORP.,quiver,lobbying,"$1,170,000",1,2026-05-01T08-00-27Z
AAL  AMERICAN AIRLINES GROUP INC,quiver,lobbying,"$1,160,000",1,2026-05-01T08-00-27Z
COR  CENCORA INC.,quiver,lobbying,"$1,150,000",1,2026-05-01T08-00-27Z
NXST  NEXSTAR MEDIA GROUP INC,quiver,lobbying,"$1,140,000",1,2026-05-01T08-00-27Z
"VRTX  VERTEX PHARMACEUTICALS, INC.",quiver,lobbying,"$1,140,000",1,2026-05-01T08-00-27Z
DIS  WALT DISNEY CO (THE),quiver,lobbying,"$1,110,000",1,2026-05-01T08-00-27Z
"HD  HOME DEPOT, INC.",quiver,lobbying,"$1,090,000",1,2026-05-01T08-00-27Z
CPNG  COUPANG INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$1,090,000",1,2026-05-01T08-00-27Z
IHRT  IHEARTMEDIA INC - ORDINARY SHARES - CLASS A NEW,quiver,lobbying,"$1,086,900",1,2026-05-01T08-00-27Z
COIN  COINBASE GLOBAL INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$1,070,000",1,2026-05-01T08-00-27Z
HPE  HEWLETT PACKARD ENTERPRISE CO,quiver,lobbying,"$1,070,000",1,2026-05-01T08-00-27Z
EMN  EASTMAN CHEMICAL CO,quiver,lobbying,"$1,050,000",1,2026-05-01T08-00-27Z
CNC  CENTENE CORP.,quiver,lobbying,"$1,030,000",1,2026-05-01T08-00-27Z
AMD  ADVANCED MICRO DEVICES INC.,quiver,lobbying,"$990,000",1,2026-05-01T08-00-27Z
ALLY  ALLY FINANCIAL INC,quiver,lobbying,"$970,000",1,2026-05-01T08-00-27Z
GT  GOODYEAR TIRE & RUBBER CO.,quiver,lobbying,"$970,000",1,2026-05-01T08-00-27Z
SWK  STANLEY BLACK & DECKER INC,quiver,lobbying,"$970,000",1,2026-05-01T08-00-27Z
"HOLX  HOLOGIC, INC.",quiver,lobbying,"$970,000",1,2026-05-01T08-00-27Z
F  FORD MOTOR CO.,quiver,lobbying,"$969,169",1,2026-05-01T08-00-27Z
"XEL  XCEL ENERGY, INC.",quiver,lobbying,"$960,000",1,2026-05-01T08-00-27Z
LHX  L3HARRIS TECHNOLOGIES INC,quiver,lobbying,"$960,000",1,2026-05-01T08-00-27Z
COF  CAPITAL ONE FINANCIAL CORP.,quiver,lobbying,"$950,000",1,2026-05-01T08-00-27Z
MPC  MARATHON PETROLEUM CORP,quiver,lobbying,"$940,000",1,2026-05-01T08-00-27Z
"NBIX  NEUROCRINE BIOSCIENCES, INC.",quiver,lobbying,"$940,000",1,2026-05-01T08-00-27Z
UBER  UBER TECHNOLOGIES INC,quiver,lobbying,"$940,000",1,2026-05-01T08-00-27Z
CB  CHUBB LIMITED,quiver,lobbying,"$910,000",1,2026-05-01T08-00-27Z
CTVA  CORTEVA INC,quiver,lobbying,"$910,000",1,2026-05-01T08-00-27Z
BABA  ALIBABA GROUP HOLDING LTD - ADR,quiver,lobbying,"$900,000",1,2026-05-01T08-00-27Z
GRAL  GRAIL INC.,quiver,lobbying,"$900,000",1,2026-05-01T08-00-27Z
TBBK  BANCORP INC. (THE),quiver,lobbying,"$895,000",1,2026-05-01T08-00-27Z
ACN  ACCENTURE PLC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$880,000",1,2026-05-01T08-00-27Z
HMC  HONDA MOTOR - ADR,quiver,lobbying,"$879,000",1,2026-05-01T08-00-27Z
"LOW  LOWE`S COS., INC.",quiver,lobbying,"$870,000",1,2026-05-01T08-00-27Z
"NKE  NIKE, INC. - ORDINARY SHARES - CLASS B",quiver,lobbying,"$860,000",1,2026-05-01T08-00-27Z
MCK  MCKESSON CORPORATION,quiver,lobbying,"$860,000",1,2026-05-01T08-00-27Z
EIX  EDISON INTERNATIONAL,quiver,lobbying,"$850,000",1,2026-05-01T08-00-27Z
MOS  MOSAIC COMPANY,quiver,lobbying,"$836,300",1,2026-05-01T08-00-27Z
NDAQ  NASDAQ INC - ORDINARY SHARES - 144A,quiver,lobbying,"$830,000",1,2026-05-01T08-00-27Z
BLK  BLACKROCK INC.,quiver,lobbying,"$810,000",1,2026-05-01T08-00-27Z
IBM  INTERNATIONAL BUSINESS MACHINES CORP.,quiver,lobbying,"$800,000",1,2026-05-01T08-00-27Z
MU  MICRON TECHNOLOGY INC.,quiver,lobbying,"$800,000",1,2026-05-01T08-00-27Z
AIR  AAR CORP.,quiver,lobbying,"$780,000",1,2026-05-01T08-00-27Z
AMAT  APPLIED MATERIALS INC.,quiver,lobbying,"$760,000",1,2026-05-01T08-00-27Z
TSLA  TESLA INC,quiver,lobbying,"$760,000",1,2026-05-01T08-00-27Z
BDX  BECTON DICKINSON & CO.,quiver,lobbying,"$755,000",1,2026-05-01T08-00-27Z
MMM  3M CO.,quiver,lobbying,"$750,000",1,2026-05-01T08-00-27Z
"GLW  CORNING, INC.",quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
BAH  BOOZ ALLEN HAMILTON HOLDING CORP - ORDINARY SHARES - CLASS A,quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
HQY  HEALTHEQUITY INC,quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
AVA  AVISTA CORP.,quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
LUMN  LUMEN TECHNOLOGIES INC,quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
PRI  PRIMERICA INC,quiver,lobbying,"$740,000",1,2026-05-01T08-00-27Z
AXON  AXON ENTERPRISE INC,quiver,lobbying,"$730,000",1,2026-05-01T08-00-27Z
EBS  EMERGENT BIOSOLUTIONS INC,quiver,lobbying,"$730,000",1,2026-05-01T08-00-27Z
AGR  AVANGRID INC,quiver,lobbying,"$730,000",1,2026-05-01T08-00-27Z
JBLU  JETBLUE AIRWAYS CORP,quiver,lobbying,"$723,000",1,2026-05-01T08-00-27Z
HPQ  HP INC,quiver,lobbying,"$720,000",1,2026-05-01T08-00-27Z
WFC  WELLS FARGO & CO.,quiver,lobbying,"$720,000",1,2026-05-01T08-00-27Z
TMO  THERMO FISHER SCIENTIFIC INC.,quiver,lobbying,"$710,000",1,2026-05-01T08-00-27Z
NSC  NORFOLK SOUTHERN CORP.,quiver,lobbying,"$700,000",1,2026-05-01T08-00-27Z
PRU  PRUDENTIAL FINANCIAL INC.,quiver,lobbying,"$700,000",1,2026-05-01T08-00-27Z
GEHC  GE HEALTHCARE TECHNOLOGIES INC,quiver,lobbying,"$700,000",1,2026-05-01T08-00-27Z
"DGX  QUEST DIAGNOSTICS, INC.",quiver,lobbying,"$690,000",1,2026-05-01T08-00-27Z
DASH  DOORDASH INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$690,000",1,2026-05-01T08-00-27Z
CMI  CUMMINS INC.,quiver,lobbying,"$689,612",1,2026-05-01T08-00-27Z
INTC  INTEL CORP.,quiver,lobbying,"$680,000",1,2026-05-01T08-00-27Z
FICO  FAIR ISAAC CORP.,quiver,lobbying,"$670,000",1,2026-05-01T08-00-27Z
ALB  ALBEMARLE CORP.,quiver,lobbying,"$670,000",1,2026-05-01T08-00-27Z
ETR  ENTERGY CORP.,quiver,lobbying,"$670,000",1,2026-05-01T08-00-27Z
KMB  KIMBERLY-CLARK CORP.,quiver,lobbying,"$670,000",1,2026-05-01T08-00-27Z
OSK  OSHKOSH CORP,quiver,lobbying,"$670,000",1,2026-05-01T08-00-27Z
"CHYM  CHIME FINANCIAL, INC. CLASS A COMMON STOCK",quiver,lobbying,"$650,000",1,2026-05-01T08-00-27Z
ICE  INTERCONTINENTAL EXCHANGE INC,quiver,lobbying,"$646,368",1,2026-05-01T08-00-27Z
BSX  BOSTON SCIENTIFIC CORP.,quiver,lobbying,"$642,000",1,2026-05-01T08-00-27Z
CLF  CLEVELAND-CLIFFS INC,quiver,lobbying,"$640,000",1,2026-05-01T08-00-27Z
"REGN  REGENERON PHARMACEUTICALS, INC.",quiver,lobbying,"$640,000",1,2026-05-01T08-00-27Z
MMS  MAXIMUS INC.,quiver,lobbying,"$620,000",1,2026-05-01T08-00-27Z
LUV  SOUTHWEST AIRLINES CO,quiver,lobbying,"$620,000",1,2026-05-01T08-00-27Z
MCD  MCDONALD`S CORP,quiver,lobbying,"$620,000",1,2026-05-01T08-00-27Z
FE  FIRSTENERGY CORP.,quiver,lobbying,"$620,000",1,2026-05-01T08-00-27Z
CSX  CSX CORP.,quiver,lobbying,"$620,000",1,2026-05-01T08-00-27Z
FLR  FLUOR CORPORATION,quiver,lobbying,"$614,449",1,2026-05-01T08-00-27Z
DNOW  DNOW INC,quiver,lobbying,"$602,000",1,2026-05-01T08-00-27Z
SYF  SYNCHRONY FINANCIAL,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
MOH  MOLINA HEALTHCARE INC,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
KDP  KEURIG DR PEPPER INC,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
TXN  TEXAS INSTRUMENTS INC.,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
ACAD  ACADIA PHARMACEUTICALS INC,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
TTC  TORO CO.,quiver,lobbying,"$600,000",1,2026-05-01T08-00-27Z
DISH  -,quiver,lobbying,"$590,000",1,2026-05-01T08-00-27Z
PANW  PALO ALTO NETWORKS INC,quiver,lobbying,"$590,000",1,2026-05-01T08-00-27Z
GEV  GE VERNOVA INC.,quiver,lobbying,"$590,000",1,2026-05-01T08-00-27Z
CMG  CHIPOTLE MEXICAN GRILL,quiver,lobbying,"$580,000",1,2026-05-01T08-00-27Z
WY  WEYERHAEUSER CO.,quiver,lobbying,"$580,000",1,2026-05-01T08-00-27Z
PII  POLARIS INC,quiver,lobbying,"$580,000",1,2026-05-01T08-00-27Z
EBAY  EBAY INC.,quiver,lobbying,"$580,000",1,2026-05-01T08-00-27Z
CARR  CARRIER GLOBAL CORP,quiver,lobbying,"$574,062",1,2026-05-01T08-00-27Z
PSN  PARSONS CORP,quiver,lobbying,"$570,000",1,2026-05-01T08-00-27Z
TSM  TAIWAN SEMICONDUCTOR MANUFACTURING - ADR,quiver,lobbying,"$570,000",1,2026-05-01T08-00-27Z
MRSH  MARSH,quiver,lobbying,"$560,000",1,2026-05-01T08-00-27Z
ARDX  ARDELYX INC,quiver,lobbying,"$560,000",1,2026-05-01T08-00-27Z
IDCC  INTERDIGITAL INC,quiver,lobbying,"$551,628",1,2026-05-01T08-00-27Z
UL  UNILEVER PLC - ADR,quiver,lobbying,"$540,000",1,2026-05-01T08-00-27Z
GMRE  GLOBAL MEDICAL REIT INC,quiver,lobbying,"$540,000",1,2026-05-01T08-00-27Z
CMCSV  COMCAST CORPORATION CLASS A COMMON STOCK EX-DISTRIBUTION WHEN ISSUED,quiver,lobbying,"$530,000",1,2026-05-01T08-00-27Z
ALK  ALASKA AIR GROUP INC.,quiver,lobbying,"$530,000",1,2026-05-01T08-00-27Z
BMRN  BIOMARIN PHARMACEUTICAL INC. - REGISTERED SHARES,quiver,lobbying,"$530,000",1,2026-05-01T08-00-27Z
AMP  AMERIPRISE FINANCIAL INC,quiver,lobbying,"$520,000",1,2026-05-01T08-00-27Z
SPGI  S&P GLOBAL INC,quiver,lobbying,"$520,000",1,2026-05-01T08-00-27Z
EXEL  EXELIXIS INC,quiver,lobbying,"$520,000",1,2026-05-01T08-00-27Z
"ECL  ECOLAB, INC.",quiver,lobbying,"$510,000",1,2026-05-01T08-00-27Z
CC  CHEMOURS COMPANY,quiver,lobbying,"$510,000",1,2026-05-01T08-00-27Z
EQIX  EQUINIX INC,quiver,lobbying,"$510,000",1,2026-05-01T08-00-27Z
ACI  ALBERTSONS COMPANIES INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$500,000",1,2026-05-01T08-00-27Z
