trader_name,ticker,transaction_type,transaction_date,shares,price,filing_date,source,section,page,scraped_at
Booth Richard Whitaker,-,Purchase,"Oct 10, 2025",12,$11.86,"Oct. 14, 2025, 9:24 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Booth Richard Whitaker,-,Purchase,"Oct 10, 2025",1,$10.01,"Oct. 14, 2025, 9:14 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Sale,"May 28, 2025",109750,$nan,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"May 16, 2025",12000,$5.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"May 28, 2025",113095,$nan,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Sale,"Feb 03, 2025",7500,$3.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Sale,"Aug 08, 2025",23300,$2.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"Apr 22, 2025",10000,$5.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"May 22, 2025",6000,$5.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"May 28, 2025",49953,$nan,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Sale,"Feb 03, 2025",54223,$4.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"Feb 03, 2025",11528,$4.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"May 02, 2025",21000,$5.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Purchase,"Jun 16, 2025",7000,$4.44,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
GK Partners ApS,NORD,Sale,"Feb 19, 2025",49165,$4.0,"Oct. 14, 2025, 9 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
ENRIGHT PATRICK G,ZBIO,Purchase,"Oct 09, 2025",11990,$20.85,"Oct. 14, 2025, 8:59 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
ENRIGHT PATRICK G,ZBIO,Purchase,"Oct 09, 2025",105265,$19.0,"Oct. 14, 2025, 8:59 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Monte Mark David,-,Purchase,"Oct 10, 2025",40,$10.01,"Oct. 14, 2025, 8:51 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
FOWKE BENJAMIN G S III,AEP,Sale,"Oct 10, 2025",5000,$117.52,"Oct. 14, 2025, 8:49 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
O'Dowd William IV  Chief Executive Officer,DLPN,Purchase,"Oct 13, 2025",3400,$1.44,"Oct. 14, 2025, 8:30 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Monte Mark David,-,Purchase,"Oct 10, 2025",3,$11.86,"Oct. 14, 2025, 8:06 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Lu James Fu Bin,GRND,Sale,"Oct 09, 2025",1000000,$13.15,"Oct. 14, 2025, 8 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Zage George Raymond III,GRND,Purchase,"Oct 09, 2025",1000000,$13.15,"Oct. 14, 2025, 8 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Albers Jeffrey W.,KYMR,Sale,"Oct 13, 2025",5000,$59.19,"Oct. 14, 2025, 7:55 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Trowbridge Stephen A  EVP and CFO,ANGO,Purchase,"Oct 13, 2025",890,$11.16,"Oct. 14, 2025, 6:11 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",3994,$151.29,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
