trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Simon Andrea Helen,GGG,P - Purchase,2026-04-27,1240,"+$99,857",$80.53,Graco Inc,Dir,2026-04-27 18:34:52,openinsider,latest_purchases,,1240,New,,,,,1,2026-05-01T08-00-32Z
Shaw Steven A,MHH,P - Purchase,2026-04-27,1000,"+$7,040",$7.04,"Mastech Digital, Inc.",10%,2026-04-27 17:50:19,openinsider,latest_purchases,,1360100,0%,,,,,1,2026-05-01T08-00-32Z
Boudreau Philip P,ABT,P - Purchase,2026-04-23,2200,"+$201,300",$91.50,Abbott Laboratories,"EVP, CFO",2026-04-27 17:34:47,openinsider,latest_purchases,,82648,+3%,,,,,1,2026-05-01T08-00-32Z
Purcell Michael J.,HEPA,P - Purchase,2026-04-21,1250000,"+$50,000",$0.04,"Hepion Pharmaceuticals, Inc.",Dir,2026-04-27 17:33:08,openinsider,latest_purchases,,1250000,New,,,,,1,2026-05-01T08-00-32Z
Pm Alpha Dac,AB.LE,P - Purchase,2026-01-02,56701,"+$1,428,875",$25.20,Ab Private Lending Fund,10%,2026-04-27 17:11:39,openinsider,latest_purchases,,1085327,+6%,,,,,1,2026-05-01T08-00-32Z
Jordan Robert Chris,ISTR,P - Purchase,2026-04-23,2000,"+$54,720",$27.36,Investar Holding Corp,Dir,2026-04-27 16:56:24,openinsider,latest_purchases,,60798,+3%,,,,,1,2026-05-01T08-00-32Z
O'Dowd William IV,DLPN,P - Purchase,2026-04-27,3400,"+$4,950",$1.46,"Dolphin Entertainment, Inc.",CEO,2026-04-27 16:45:53,openinsider,latest_purchases,,585881,+1%,,,,,1,2026-05-01T08-00-32Z
Sprott Eric,HYMC,P - Purchase,2026-04-24,100000,"+$3,784,000",$37.84,Hycroft Mining Holding Corp,10%,2026-04-27 16:35:39,openinsider,latest_purchases,,37403704,0%,,,,,1,2026-05-01T08-00-32Z
Obermaier Patricia L,EFOR,P - Purchase,2026-04-27,2500,"+$51,513",$20.61,Everforth Inc,Dir,2026-04-27 16:32:51,openinsider,latest_purchases,,9548,+35%,,,,,1,2026-05-01T08-00-32Z
Salem Matthew A,KREF,P - Purchase,2026-04-24,60000,"+$362,472",$6.04,Kkr Real Estate Finance Trust Inc.,CEO,2026-04-27 16:30:42,openinsider,latest_purchases,,703075,+9%,,,,,1,2026-05-01T08-00-32Z
Mattson W Patrick,KREF,P - Purchase,2026-04-24,40000,"+$241,072",$6.03,Kkr Real Estate Finance Trust Inc.,"Pres, COO, Secretary",2026-04-27 16:30:41,openinsider,latest_purchases,,500287,+9%,,,,,1,2026-05-01T08-00-32Z
