trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Chernett Jorey,AIRS,P - Purchase,2026-04-17,40000,"+$101,600",$2.54,"Airsculpt Technologies, Inc.",10%,2026-04-20 09:16:56,openinsider,penny_buys,D,7053761,+1%,,,,,1,2026-05-01T08-03-29Z
Kidambi Tridivesh,SST,P - Purchase,2026-04-15,26910,"+$80,730",$3.00,"System1, Inc.",CFO,2026-04-17 20:33:35,openinsider,penny_buys,,146515,+22%,,,,,1,2026-05-01T08-03-29Z
Steel Partners Holdings L.P.,SPRU,P - Purchase,2026-04-15,14244,"+$58,100",$4.08,Spruce Power Holding Corp,10%,2026-04-17 17:18:51,openinsider,penny_buys,M,3405045,0%,,,,,1,2026-05-01T08-03-29Z
"Aqr Capital Management Holdings, LLC",ZSPC,P - Purchase,2026-04-15,860716,"+$61,111",$0.07,"Zspace, Inc.",10%,2026-04-17 16:43:22,openinsider,penny_buys,,4756327,+22%,,,,,1,2026-05-01T08-03-29Z
Gerber Charles,DHY,P - Purchase,2026-04-16,16000,"+$30,080",$1.88,Credit Suisse High Yield Credit Fund,Trustee,2026-04-17 09:15:31,openinsider,penny_buys,,16000,New,,,,,1,2026-05-01T08-03-29Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-15,28500,"+$79,510",$2.79,Baozun Inc.,CEO,2026-04-17 07:33:04,openinsider,penny_buys,M,1417872,+2%,,,,,1,2026-05-01T08-03-29Z
Cruickshank Tim,BEAT,P - Purchase,2026-04-16,31250,"+$25,000",$0.80,"Heartbeam, Inc.",CFO,2026-04-16 20:48:21,openinsider,penny_buys,,72230,+76%,,,,,1,2026-05-01T08-03-29Z
Elfrink Willem,BEAT,P - Purchase,2026-04-16,187500,"+$150,000",$0.80,"Heartbeam, Inc.",Dir,2026-04-16 20:48:07,openinsider,penny_buys,,538667,+53%,,,,,1,2026-05-01T08-03-29Z
Jaff Michael R,BEAT,P - Purchase,2026-04-16,31250,"+$25,000",$0.80,"Heartbeam, Inc.",Dir,2026-04-16 20:47:53,openinsider,penny_buys,,31250,New,,,,,1,2026-05-01T08-03-29Z
Vajdic Branislav,BEAT,P - Purchase,2026-04-16,31250,"+$25,000",$0.80,"Heartbeam, Inc.",Dir,2026-04-16 20:47:39,openinsider,penny_buys,,909914,+4%,,,,,1,2026-05-01T08-03-29Z
Ferrari Richard,BEAT,P - Purchase,2026-04-16,62500,"+$50,000",$0.80,"Heartbeam, Inc.",Dir,2026-04-16 20:47:23,openinsider,penny_buys,,291636,+27%,,,,,1,2026-05-01T08-03-29Z
Strome Mark E,BEAT,P - Purchase,2026-04-16,750000,"+$600,000",$0.80,"Heartbeam, Inc.",Dir,2026-04-16 20:46:40,openinsider,penny_buys,,3650000,+26%,,,,,1,2026-05-01T08-03-29Z
Ault Milton C III,ALZN,P - Purchase,2026-04-14,108388,"+$108,897",$1.00,"Alzamend Neuro, Inc.",Dir,2026-04-16 16:30:09,openinsider,penny_buys,,127777,+559%,,,,,1,2026-05-01T08-03-29Z
Hrt Financial LP,ONCO,P - Purchase,2026-04-14,166904,"+$127,591",$0.76,"Onconetix, Inc.",10%,2026-04-16 14:30:24,openinsider,penny_buys,M,197052,+554%,,,,,1,2026-05-01T08-03-29Z
Pfeifer Andrea,ACIU,P - Purchase,2026-04-15,10000,"+$31,425",$3.14,Ac Immune Sa,CEO,2026-04-16 11:10:49,openinsider,penny_buys,,3844288,0%,,,,,1,2026-05-01T08-03-29Z
Rudy Mitchell Austin,BNKK,P - Purchase,2026-04-09,31055,"+$87,575",$2.82,"Bonk, Inc.","Dir, 10%",2026-04-16 09:18:54,openinsider,penny_buys,,1662657,+2%,,,,,1,2026-05-01T08-03-29Z
Williams Gregg,VANI,P - Purchase,2026-04-15,1587301,"+$1,999,999",$1.26,"Vivani Medical, Inc.","Dir, 10%",2026-04-16 06:30:10,openinsider,penny_buys,,37743684,+4%,,,,,1,2026-05-01T08-03-29Z
"Visionwave Holdings, Inc.",SVRE,P - Purchase,2026-03-30,2147483647,"+$2,147,483,647",$3.31,Saverone 2014 Ltd.,Dir,2026-04-15 16:08:17,openinsider,penny_buys,M,2147483647,+50%,,,,,1,2026-05-01T08-03-29Z
Chernett Jorey,AIRS,P - Purchase,2026-04-14,20000,"+$52,000",$2.60,"Airsculpt Technologies, Inc.",10%,2026-04-15 09:35:08,openinsider,penny_buys,,7013761,0%,,,,,1,2026-05-01T08-03-29Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-13,23600,"+$60,253",$2.55,Baozun Inc.,CEO,2026-04-15 06:30:18,openinsider,penny_buys,M,1389372,+2%,,,,,1,2026-05-01T08-03-29Z
Steel Partners Holdings L.P.,SPRU,P - Purchase,2026-04-10,9702,"+$39,059",$4.03,Spruce Power Holding Corp,10%,2026-04-14 18:52:48,openinsider,penny_buys,M,3390801,0%,,,,,1,2026-05-01T08-03-29Z
