ticker,transaction_type,transaction_date,shares,value,price,company,filing_date,source,section,x,industry,ins,owned,δown,1d,1w,1m,6m,page,scraped_at
RHP,P - Purchase,2025-08-14,10611,"+$1,010,493",$95.23,"Ryman Hospitality Properties, Inc.",2025-08-15 11:27:19,openinsider,cluster_buys,,Real Estate Investment Trusts,2,1440306,+1%,,,,,1,2025-10-14T11-58-10Z
AMPY,P - Purchase,2025-08-11,425000,"+$1,603,489",$3.77,Amplify Energy Corp.,2025-08-14 20:01:01,openinsider,cluster_buys,M,Crude Petroleum & Natural Gas,2,3718979,+13%,,,,,1,2025-10-14T11-58-10Z
CROX,P - Purchase,2025-08-12,5261,"+$403,204",$76.64,"Crocs, Inc.",2025-08-14 18:39:34,openinsider,cluster_buys,,Rubber & Plastics Footwear,2,65495,+9%,,,,,1,2025-10-14T11-58-10Z
FINS,P - Purchase,2025-08-05,9505,"+$124,908",$13.14,Angel Oak Financial Strategies Income Term Trust,2025-08-14 15:12:02,openinsider,cluster_buys,,Closed-End Funds,2,10525,+932%,,,,,1,2025-10-14T11-58-10Z
TROX,P - Purchase,2025-08-12,208750,"+$662,797",$3.18,Tronox Holdings Plc,2025-08-13 09:22:01,openinsider,cluster_buys,,Industrial Inorganic Chemicals,6,2828193,+8%,,,,,1,2025-10-14T11-58-10Z
PRGS,P - Purchase,2025-08-12,8935,"+$428,158",$47.92,Progress Software Corp /Ma,2025-08-13 07:00:25,openinsider,cluster_buys,,Prepackaged Software,3,388030,+2%,,,,,1,2025-10-14T11-58-10Z
CBZ,P - Purchase,2025-08-08,3593,"+$224,874",$62.59,"Cbiz, Inc.",2025-08-12 16:45:44,openinsider,cluster_buys,,Business Services,2,46834,+8%,,,,,1,2025-10-14T11-58-10Z
CTEV,P - Purchase,2025-08-08,9903,"+$549,192",$55.46,Claritev Corp,2025-08-12 16:19:12,openinsider,cluster_buys,M,Business Services,2,94305,+12%,,,,,1,2025-10-14T11-58-10Z
AKAM,P - Purchase,2025-08-11,53000,"+$3,829,944",$72.26,Akamai Technologies Inc,2025-08-12 16:15:56,openinsider,cluster_buys,,Business Services,2,2688003,+2%,,,,,1,2025-10-14T11-58-10Z
CHD,P - Purchase,2025-08-12,12879,"+$1,177,675",$91.44,Church & Dwight Co Inc /De/,2025-08-12 12:17:16,openinsider,cluster_buys,,"Soap, Detergents, Cleaning, Perfumes, Cosmetics",3,76546,+20%,,,,,1,2025-10-14T11-58-10Z
SONO,P - Purchase,2025-08-08,1897465,"+$21,136,748",$11.14,Sonos Inc,2025-08-11 18:54:34,openinsider,cluster_buys,M,Household Audio & Video Equipment,5,30329186,+7%,,,,,1,2025-10-14T11-58-10Z
TNDM,P - Purchase,2025-08-11,23720,"+$251,722",$10.61,Tandem Diabetes Care Inc,2025-08-11 18:15:44,openinsider,cluster_buys,,Surgical & Medical Instruments & Apparatus,2,165705,+17%,,,,,1,2025-10-14T11-58-10Z
AVBH,P - Purchase,2025-08-08,145000,"+$3,335,000",$23.00,"Avidbank Holdings, Inc.",2025-08-11 18:00:07,openinsider,cluster_buys,,State Commercial Banks,6,1623421,+10%,,,,,1,2025-10-14T11-58-10Z
SFNC,P - Purchase,2025-08-07,108925,"+$2,016,477",$18.51,Simmons First National Corp,2025-08-11 17:58:46,openinsider,cluster_buys,,National Commercial Banks,8,1220173,+10%,,,,,1,2025-10-14T11-58-10Z
PTLO,P - Purchase,2025-08-08,210570,"+$1,614,474",$7.67,Portillo'S Inc.,2025-08-11 17:47:19,openinsider,cluster_buys,M,Eating Places,4,447173,+89%,,,,,1,2025-10-14T11-58-10Z
CNC,P - Purchase,2025-08-08,28230,"+$738,945",$26.18,Centene Corp,2025-08-11 17:28:22,openinsider,cluster_buys,D,Hospital & Medical Service Plans,2,895770,+3%,,,,,1,2025-10-14T11-58-10Z
PINE,P - Purchase,2025-08-06,119581,"+$1,702,990",$14.24,"Alpine Income Property Trust, Inc.",2025-08-11 16:30:13,openinsider,cluster_buys,M,Real Estate Investment Trusts,4,1278202,+10%,,,,,1,2025-10-14T11-58-10Z
CSR,P - Purchase,2025-08-08,1750,"+$95,325",$54.47,Centerspace,2025-08-11 15:53:06,openinsider,cluster_buys,,Real Estate Investment Trusts,3,37627,+5%,,,,,1,2025-10-14T11-58-10Z
IFF,P - Purchase,2025-08-07,30750,"+$1,994,897",$64.87,International Flavors & Fragrances Inc,2025-08-08 18:49:19,openinsider,cluster_buys,,Industrial Organic Chemicals,2,2384840,+1%,,,,,1,2025-10-14T11-58-10Z
AUB,P - Purchase,2025-08-08,23941,"+$765,452",$31.97,Atlantic Union Bankshares Corp,2025-08-08 11:56:23,openinsider,cluster_buys,M,State Commercial Banks,2,349233,+7%,,,,,1,2025-10-14T11-58-10Z
TFX,P - Purchase,2025-08-05,5500,"+$633,590",$115.20,Teleflex Inc,2025-08-07 18:02:01,openinsider,cluster_buys,,Surgical & Medical Instruments & Apparatus,5,89355,+7%,,,,,1,2025-10-14T11-58-10Z
OI,P - Purchase,2025-08-05,11828,"+$154,757",$13.08,"O-I Glass, Inc. /De/",2025-08-07 16:59:46,openinsider,cluster_buys,,Glass Containers,2,711406,+2%,,,,,1,2025-10-14T11-58-10Z
KMPR,P - Purchase,2025-08-07,8000,"+$394,425",$49.30,Kemper Corp,2025-08-07 16:59:04,openinsider,cluster_buys,,"Fire, Marine & Casualty Insurance",4,85425,+10%,,,,,1,2025-10-14T11-58-10Z
VRTX,P - Purchase,2025-08-06,15000,"+$5,844,184",$389.61,Vertex Pharmaceuticals Inc / Ma,2025-08-07 16:23:31,openinsider,cluster_buys,,Pharmaceutical Preparations,2,160968,+10%,,,,,1,2025-10-14T11-58-10Z
PRLB,P - Purchase,2025-08-05,3440,"+$150,160",$43.65,Proto Labs Inc,2025-08-07 16:09:01,openinsider,cluster_buys,,Fabricated Structural Metal Products,2,61904,+6%,,,,,1,2025-10-14T11-58-10Z
NEO,P - Purchase,2025-08-06,37900,"+$212,276",$5.60,Neogenomics Inc,2025-08-06 16:07:57,openinsider,cluster_buys,D,Testing Laboratories,2,245298,+18%,,,,,1,2025-10-14T11-58-10Z
CIVB,P - Purchase,2025-08-05,4500,"+$87,914",$19.54,"Civista Bancshares, Inc.",2025-08-05 16:26:03,openinsider,cluster_buys,M,State Commercial Banks,2,25659,+21%,,,,,1,2025-10-14T11-58-10Z
CHMG,P - Purchase,2025-08-05,18458,"+$968,372",$52.46,Chemung Financial Corp,2025-08-05 13:33:01,openinsider,cluster_buys,,State Commercial Banks,3,57785,+47%,,,,,1,2025-10-14T11-58-10Z
